id,created_at,text
68,Mon Jan 29 13:18:18 +0000 2024,"ஊர்ந்து போய் பதவி வாங்கிய பறிகொடுத்து உள்ளார் EPS!

#opanneerselvam8i #edappadipalanisamy #palanisamy #panneerselvam #eps #ops #opsvseps #admk #ADMK #politics #TNpolitics #tamilnadu #TNpeoples #TNmakkal #palanisaamy https://t.co/Sp5aqmdd9r"
69,Mon Jan 29 13:13:50 +0000 2024,"#கேள்விக்களம் | இன்று இரவு 7 மணிக்கு...

#SunNews | #Kelvikalam | #ADMK | #BJP https://t.co/9ne5qqY9eH"
70,Mon Jan 29 13:12:50 +0000 2024,"கொஞ்சம் கூட நன்றி இல்லாதவர் Edappadi K.Palaniswami !

#opanneerselvam8i #edappadipalanisamy #palanisamy #panneerselvam #eps #ops #opsvseps #admk #ADMK #politics #TNpolitics #tamilnadu #TNpeoples #TNmakkal https://t.co/3KejgmRqqm"
71,Mon Jan 29 13:08:19 +0000 2024,"Video Link : https://t.co/OpZUyoaPD1
EPS அதிரடி... BJP -க்கு பின்னடைவா?! - Nachiyal Suganthi Breaks | ADMK | Modi | IBC | DMK | MK Stalin
#DMK | #ADMK | #MKStalin | #Nachiyalsuganthi https://t.co/VR69DUnS36"
72,Mon Jan 29 13:08:15 +0000 2024,"""எடப்பாடி பழனிசாமியை அதிமுகவினர் தூக்கி எறிவார்கள்""  #opsspeech #admk #edappadipalanisami #zeetamilnews

https://t.co/KnuEtkqjcA"
73,Mon Jan 29 13:06:01 +0000 2024,#admkoffice #admk
74,Mon Jan 29 12:58:08 +0000 2024,"மீண்டும் CAA..இப்ப கூட்டணியில் இல்லை தானே..?? #பாஜக வை எதிர்த்து பேசுவாரா எடப்பாடி...??? 
@EPSTamilNadu #அதிமுக #Admk 
#BJPFailsIndia #ShameOnBjpGovt https://t.co/TJW9eEfp56"
75,Mon Jan 29 12:55:08 +0000 2024,கூட்டணிக்கு ஒருபயலயும் காணோம் #admk https://t.co/Gta2yI3TV6
76,Mon Jan 29 12:53:24 +0000 2024,"அ.தி.மு.க. பேனர் விழுந்ததில் இளம்பெண் காயம் அடைந்தார்.

https://t.co/MKDr47vEp0
#admk #banner #younggirl #injured #dailythanthi"
77,Mon Jan 29 12:51:50 +0000 2024,"பாஜகவின் கொத்தடிமை | #jeyakumar #ops #annamalai #admk #bjp #trending #shortsfeed #viralvideo 

https://t.co/m3IsoIHt7F

#TamilNewsToday #tamil #TamilNews #NewsTamilBreaking #BreakingNews #TamilNewsLive #TamilNewsHeadlines #DailyNewsUpdate #Jayakumar #BJP #OPS #AIADMK #TamilNadu https://t.co/wyY7umrD5t"
78,Mon Jan 29 12:48:05 +0000 2024,"தனித்து போட்டியிடும் அதிமுக தலைதப்பிக்குமா | 2024-ல் மீண்டும் மோடி | IPDS THIRUNAVUKKARASU
Link : https://t.co/Gd2lVrddsW

#admk #eps #edapadipalaniswamy #edapadi #palaniswami #dmk #mkstalin #Election2024 #mkstalin #annamalai #bjp #modi #ramartemple #ramarkovil #ipds https://t.co/lqPBcpk8bT"
79,Mon Jan 29 12:48:02 +0000 2024,"#நேர்படபேசு 29.01.2024

இன்று இரவு 8 மணிக்கு உங்கள் புதிய தலைமுறையில்...!

#Nerpadapesu | #DMK | #ADMK | #Election2024 | #MKStalin | #EdappadiPalanisamy https://t.co/YnHX5V2ypB"
80,Mon Jan 29 12:47:03 +0000 2024,பேரறிஞர் அண்ணா || perarignar anna || அண்ணாவும் எழுத்தாற்றலும் || dmk || ... https://t.co/MtbyNyep5w via @YouTube #dmk #admk
81,Mon Jan 29 12:46:42 +0000 2024,"'@ChanakyaaTv ""துரோகம் செய்தவர்களை அடையாளம் காட்டுவோம்""

யாரு.. சின்னம்மாவுக்கு துரோகம் செய்த #எடப்பாடி யவா?? 🤔

#Jayakumar #ADMK #BJP #NDA #LokSabhaElection2024"
82,Mon Jan 29 12:42:47 +0000 2024,"""துரோகம் செய்தவர்களை அடையாளம் காட்டுவோம்""
#Jayakumar #ADMK #BJP #NDA #LokSabhaElection2024 https://t.co/aaYmvl7yZP"
83,Mon Jan 29 12:31:48 +0000 2024,"தொண்டர்களுக்கு கொடுத்த உரிமையை பறித்த Palanisaamy !

#opanneerselvam8i #edappadipalanisamy #palanisamy #panneerselvam #eps #ops #opsvseps #admk #ADMK #politics #TNpolitics #tamilnadu #TNpeoples #TNmakkal https://t.co/ZaNMHe9qFK"
84,Mon Jan 29 12:30:00 +0000 2024,"நீட் ரத்து இன்னும் நடக்கல்... அப்பறம் எதுக்கு திமுகவுக்கு மக்கள் ஓட்டு போடனும் ; அதிமுக!  
#trending #updatenews360 #breakingnews #tnpolitics #dmk #tngovt #latestnews #mkstalin #trendingnews #admk #nathamviswanathan #eps #stalin #dmkfails #dmknews #bjp
https://t.co/3XTfzkj62d https://t.co/FN30ixhBWx"
85,Mon Jan 29 12:30:00 +0000 2024,"நீட் ரத்து இன்னும் நடக்கல்... அப்பறம் எதுக்கு திமுகவுக்கு மக்கள் ஓட்டு போடனும் ; அதிமுக!
#trending #updatenews360 #breakingnews #tnpolitics #dmk #tngovt #latestnews #mkstalin #trendingnews #admk #nathamviswanathan #edappadipalanisamy #eps #stalin #dmkfails #dmknews #bjp https://t.co/ixJ4MeaxEr"
86,Mon Jan 29 12:29:03 +0000 2024,"பேனர் விழுந்து பெண் காயம்  
 #admk #admkbanner #accident
 
 https://t.co/y4W3uzOWeZ https://t.co/5ln2nsAVkM"
87,Mon Jan 29 12:27:59 +0000 2024,"99% தொண்டர்கள் எடப்பாடியார் பக்கம் இருக்கிறார்கள் இதை கேட்டவுடன் 100% தொண்டர்கள் #எடப்பாடியார் பக்கம் நிற்பார்கள்...

#ADMK_VNR #ADMK 
#எடப்பாடியார்_என்னும்_ஆளுமை

 #ADMKITWINGOFL @ADMKofficial @EPSTamilNadu @SPVelumanicbe @V_Jayaraman123 @MLA_SulurOffl  @sasiitcbe @satyenaiadmk… https://t.co/S3BvV6FA7S"
88,Mon Jan 29 12:22:23 +0000 2024,"சின்னம்மாவையும், TTV-வையும் சேர்க்க முடியாது | #ops #eps  

https://t.co/BnfatPwSBe

#TamilnaduNews #TamilNewsToday #tamil #TamilNews #BreakingNews #TamilNewsLive #TamilNewsHeadlines #DailyNewsUpdate #OPanneerselvam #TTVDhinakaran #Sasikala #EdappadiPalaniswami #ADMK #Tamilnews https://t.co/RDbWD0Z7Dt"
89,Mon Jan 29 12:21:42 +0000 2024,"Virugambakkam அதிமுக நிர்வாகி இல்ல திருமண விழாவில் Edappadi Palaniswamy பங்கேற்பு | ADMK | Edappadi Palaniswamy

#Admk #EdappadiPalaniswamy #chennai https://t.co/cxGfZir0Oo"
90,Mon Jan 29 12:19:27 +0000 2024,"#KelvikalamPoll | கடந்த 10 ஆண்டுகளில் மாநிலங்களுக்கு பாஜக அரசு செய்த துரோகங்களை அம்பலப்படுத்தப்போவதாக அதிமுக அறிவித்து இருப்பது....

#SunNews | #ADMK | #BJP"
91,Mon Jan 29 12:15:56 +0000 2024,"கே.பி.முனுசாமி கருத்துக்கு அண்ணாமலை கொடுத்த பதிலடி

#annamalai #admk #bjp #kpmunusamy #tamilnews https://t.co/pBRD38br7K"
